Keyword,Position,"Previous Position","Search Volume",CPC,Url,"Traffic (%)","Traffic Cost (%)",Competition,"Number of Results",Trends,Timestamp,geo
"construir una casa precio",11,11,90,0.34,http://www.hazmeprecio.com/presupuesto/construccion-casa,0.25,0.05,0.68,19300000,"0.79,0.36,0.79,0.64,0.79,0.50,0.28,0.64,0.50,0.99,0.64,0.79",1428482698,
"reformas de baños precios",11,16,90,1.41,http://www.hazmeprecio.com/presupuesto/reforma-baño,0.25,0.24,0.87,697000,"0.53,0.53,0.53,0.28,0.41,0.53,0.82,0.99,0.82,0.41,0.53,0.53",1428582590,
"precio hora electricista",11,14,90,1.82,http://www.hazmeprecio.com/presupuesto/electricistas,0.25,0.31,0.65,387000,"0.50,0.50,0.64,0.64,0.79,0.99,0.99,0.64,0.50,0.36,0.64,0.79",1428376118,
"presupuesto construccion casa",10,10,140,0.90,http://www.hazmeprecio.com/presupuesto/construccion-casa,0.25,0.15,0.87,825000,"0.82,0.65,0.99,0.65,0.65,0.82,0.99,0.65,0.65,0.65,0.82,0.82",1428352067,
"cuanto cuesta construir un chalet",9,9,140,0.51,http://www.hazmeprecio.com/presupuesto/construir-chalet,0.25,0.08,0.62,47000,"0.81,0.99,0.52,0.52,0.33,0.81,0.99,0.81,0.52,0.24,0.81,0.99",1428717399,
"presupuestos para reformas",10,11,140,3.52,http://www.hazmeprecio.com/,0.25,0.61,0.64,11600000,"0.43,0.19,0.33,0.67,0.99,0.52,0.52,0.81,0.67,0.67,0.99,0.81",1428424697,
"pergolas de aluminio precios",10,11,140,0.75,http://www.hazmeprecio.com/presupuesto/pergola-aluminio,0.25,0.13,0.87,266000,"0.81,0.65,0.99,0.65,0.99,0.65,0.19,0.15,0.42,0.35,0.54,0.42",1428209314,
"pladur castellon",8,8,140,0.72,http://www.hazmeprecio.com/presupuesto/pladur/castellon,0.25,0.12,0.05,178000,"0.02,0.05,0.03,0.01,0.01,0.01,0.01,0.55,0.99,0.12,0.08,0.03",1428347054,
"vestir armarios",9,8,140,0.71,http://www.hazmeprecio.com/presupuesto/vestir-armarios,0.25,0.12,0.73,437000,"0.99,0.99,0.65,0.82,0.99,0.82,0.82,0.82,0.99,0.53,0.99,0.65",1428165956,
"pladur precio m2",10,9,140,0.28,http://www.hazmeprecio.com/presupuesto/poner-pladur,0.25,0.04,0.16,314000,"0.67,0.67,0.52,0.52,0.33,0.19,0.43,0.81,0.43,0.81,0.99,0.67",1428150088,
"rotular furgoneta",9,12,140,1.19,http://www.hazmeprecio.com/presupuesto/rotular-vehiculos,0.25,0.20,0.88,14000,"0.52,0.52,0.67,0.52,0.52,0.67,0.81,0.81,0.81,0.67,0.81,0.99",1428202944,
"precio lacar puertas",9,9,140,0.56,http://www.hazmeprecio.com/presupuesto/lacar-puertas,0.25,0.09,0.44,130000,"0.67,0.67,0.81,0.52,0.52,0.67,0.52,0.81,0.99,0.81,0.81,0.67",1428322598,
"precio cerramiento terraza",9,7,140,1.61,http://www.hazmeprecio.com/presupuesto/cerramiento-terraza,0.25,0.27,0.88,365000,"0.43,0.33,0.43,0.43,0.52,0.43,0.52,0.52,0.81,0.67,0.99,0.99",1428845781,
"precio toldos terraza",10,10,140,0.72,http://www.hazmeprecio.com/presupuesto/toldo-terraza,0.25,0.12,0.97,427000,"0.54,0.99,0.99,0.81,0.19,0.19,0.27,0.35,0.27,0.04,0.42,0.65",1428386571,
"puertas metalicas precios",9,11,140,0.65,http://www.hazmeprecio.com/presupuesto/puertas-metalicas,0.25,0.11,0.86,342000,"0.19,0.35,0.35,0.42,0.42,0.19,0.42,0.81,0.99,0.42,0.99,0.54",1428132265,
"precio pintar piso",8,6,140,1.53,http://www.hazmeprecio.com/presupuesto/pintar-piso,0.25,0.26,0.64,521000,"0.99,0.99,0.67,0.52,0.52,0.52,0.67,0.67,0.81,0.52,0.81,0.67",1428841679,
"paves precios",8,8,140,0.50,http://www.hazmeprecio.com/presupuesto/pared-de-paves,0.25,0.08,0.34,57000,"0.99,0.99,0.82,0.10,0.10,0.13,0.18,0.10,0.13,0.10,0.18,0.10",1428424532,
"precio pladur m2",8,9,140,0.70,http://www.hazmeprecio.com/presupuesto/poner-pladur,0.25,0.12,0.13,303000,"0.65,0.27,0.27,0.65,0.65,0.99,0.35,0.54,0.27,0.35,0.35,0.99",1428732400,
"precio armario empotrado 2 metros",2,5,30,0.96,http://www.hazmeprecio.com/presupuesto/armarios-empotrados,0.23,0.15,0.51,615000,"0.28,0.14,0.28,0.28,0.14,0.28,0.28,0.43,0.43,0.56,0.99,0.43",1428156069,
"presupuestos on line",2,3,30,1.81,http://www.hazmeprecio.com/,0.23,0.29,0.81,4800000,"0.99,0.40,0.80,0.80,0.60,0.40,0.60,0.80,0.80,0.40,0.80,0.60",1428183279,
"precio colocar parquet",2,4,30,1.08,http://www.hazmeprecio.com/presupuesto/poner-parquet,0.23,0.17,0.78,246000,"0.60,0.40,0.20,0.60,0.80,0.60,0.99,0.80,0.80,0.60,0.60,0.60",1428179426,
"presupuesto ventanas climalit",2,1,30,0.74,http://www.hazmeprecio.com/presupuesto/ventanas-climalit,0.23,0.11,0.88,249000,"0.28,0.28,0.28,0.28,0.28,0.43,0.28,0.14,0.56,0.71,0.99,0.71",1428382521,
"cemento pulido precio metro cuadrado",2,2,30,1.92,http://www.hazmeprecio.com/presupuesto/hormigon-pulido,0.23,0.30,0.70,20000,"0.60,0.60,0.60,0.80,0.60,0.60,0.99,0.60,0.40,0.60,0.80,0.60",1428759420,
"presupuesto pintar habitacion",2,4,30,1.33,http://www.hazmeprecio.com/presupuesto/pintar-habitaciones,0.23,0.21,0.62,179000,"0.99,0.40,0.40,0.60,0.20,0.40,0.80,0.80,0.40,0.20,0.60,0.80",1428759670,
