Keyword,Position,Previous Position,Search Volume,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp,geo
suelos de silestone,1,2,10,0.16,http://blog.tumanitas.com/suelos-de-silestone-resistentes-decorativos-y-exclusivos/,0.13,0.01,0.35,244000,"0.99,0.33,0.67,0.33,0.33,0.33,0.33,0.33,0.33,0.67,0.67,0.67",1428765489,nogeo
reformas presupuesto,1,1,10,6.01,http://tumanitas.com/,0.13,0.63,0.96,23400000,"0.50,0.50,0.50,0.50,0.50,0.50,0.99,0.50,0.50,0.50,0.99,0.99",1428732505,nogeo
tusmanitas.com,1,0,10,0.17,http://tumanitas.com/,0.13,0.01,0.27,73000,"0.50,0.99,0.99,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50",1428634361,nogeo
arreglar persiana descolgada,6,7,90,1.51,http://tumanitas.com/trabajos-de/arreglar-persiana,0.13,0.15,0.49,1000,"0.12,0.18,0.12,0.28,0.53,0.82,0.99,0.53,0.82,0.82,0.53,0.24",1428305153,nogeo
reformas de baños precios,5,5,90,1.41,http://tumanitas.com/precios-de-reformas/reformas-banos,0.13,0.14,0.87,697000,"0.53,0.53,0.53,0.28,0.41,0.53,0.82,0.99,0.82,0.41,0.53,0.53",1428582590,nogeo
precios de reformas,3,3,50,2.95,http://tumanitas.com/precios-de-reformas/reformas,0.13,0.30,0.83,19800000,"0.99,0.71,0.99,0.43,0.28,0.28,0.71,0.71,0.71,0.56,0.56,0.99",1428679351,nogeo
presupuesto reforma vivienda,6,7,90,2.84,http://tumanitas.com/trabajos-de/reforma-vivienda,0.13,0.28,0.93,12600000,"0.41,0.41,0.53,0.28,0.41,0.28,0.28,0.41,0.65,0.53,0.82,0.99",1428351534,nogeo
carpinteria valencia,7,10,110,0.67,http://tumanitas.com/trabajos-en/valencia/carpinteria-madera,0.13,0.06,0.38,720000,"0.65,0.53,0.82,0.99,0.53,0.53,0.65,0.65,0.65,0.82,0.99,0.99",1428203270,geo
pintar puertas en blanco,13,16,480,0.62,http://tumanitas.com/trabajos-de/lacar-puertas,0.12,0.06,0.17,673000,"0.88,0.72,0.11,0.09,0.59,0.99,0.14,0.09,0.11,0.39,0.88,0.48",1428404609,nogeo
subvenciones junta de andalucia vivienda,11,11,90,0.44,http://tumanitas.com/p/subvenciones-ayudas-reformas.html,0.12,0.04,0.32,111000,"0.53,0.99,0.82,0.53,0.28,0.53,0.28,0.41,0.53,0.53,0.53,0.65",1428084046,nogeo
reforma baño madrid,11,10,90,2.67,http://tumanitas.com/trabajos-en/madrid/reformas-banos,0.12,0.25,0.91,727000,"0.64,0.99,0.82,0.99,0.45,0.45,0.45,0.82,0.82,0.64,0.99,0.82",1428803704,geo
presupuesto armario empotrado,11,11,90,1.23,http://tumanitas.com/trabajos-de/armario-empotrado,0.12,0.11,0.69,211000,"0.50,0.28,0.36,0.64,0.79,0.64,0.79,0.79,0.99,0.50,0.79,0.79",1428218627,nogeo
reforma baño barcelona,11,12,90,3.05,http://tumanitas.com/trabajos-en/provincia-de-barcelona/reformas-banos,0.12,0.29,0.86,746000,"0.50,0.64,0.64,0.64,0.99,0.50,0.64,0.64,0.36,0.36,0.50,0.79",1428845987,geo
